Enterprise Value,EV/EBIT
4444.478999999999,32.970912462908004
7960.06,28.20715804394047
6721.099999999999,18.970081851538243
7484.8679999999995,21.397564322469982
10097.675,33.930359543010745
10979.935000000001,88.69091276252021
9743.208,7494.775384615385
17510.002,-41.78000954426151
25502.646,-64.79330792682927
33429.78,1013.0236363636363
43889.79000000001,119.65591603053437
61171.028,94.02248386105133
55800.078,74.66891208350062
46853.4,45.40058139534884
54685.34,46.54071489361702
67287.76,47.519604519774006
18179.319999999996,10.28125777626965
24466.644,13.40858442483696
25407.072,12.969408882082694
31768.136,15.573379087210157
36241.756,16.30528456381878
35765.07199999999,17.758228401191655
40660.759,18.162665386161613
44821.3,18.629743547113346
58692.231999999996,22.358093786903357
72093.286,23.40083290054531
64557.41099999999,19.603246386493378
85017.29399999998,25.81052673123045
89505.044,23.69613576194006
92018.259,20.414930780494302
97909.18899999998,19.79162906812209
126353.51999999999,23.347349359744268
5671.9973,12.44951119402985
4051.123600000001,11.558127246790303
4458.3318,11.210288659793815
5485.6738,11.959175495966862
5598.5129,11.289600524299253
6519.894900000001,12.12552519992561
7266.558,12.066685486549318
11425.6583,16.582958345428157
9295.8569,11.796772715736042
12680.670900000001,15.394768605074663
14876.9516,17.242642095503015
20967.0814,19.700348961758902
17683.71,16.474482951369477
19459.6714,20.19057003527703
17938.474000000002,16.082547964855657
17678.7888,15.731258942872396
3848.8940000000002,5.822667729671916
5712.4223999999995,5.671840382066315
5536.5563,5.780794883842339
5642.030400000001,7.2755143252841465
7275.744200000001,8.225241390381466
6614.0292,7.201075257110133
6619.2735,7.634801329201015
5447.0043000000005,9.096305703764935
6001.2083,10.772595547146645
5884.1553,9.623265478345772
4009.6787999999992,18.11596410854184
5304.908100000001,14.502248775967132
5815.7778,5.99228659391022
7629.2248,6.280034704215706
7401.2565,8.25188562598323
7136.2513,11.462568546508825
14421.6324,11.679326530612245
9571.375999999998,8.268293020041463
8176.191999999999,11.806775451263537
9053.357999999998,11.445458912768645
5701.3330000000005,7.769600708639958
3289.2749999999996,9.355162116040955
3445.0040000000004,9.258274657350174
1963.045,5.5720834516037465
1733.3479999999997,7.028986212489861
377.495,5.699844479004666
619.8173,9.854324461827085
713.3635999999999,9.35902495342552
1288.4548000000002,12.925392239476748
1512.9035,14.338414807513695
1484.0683999999999,15.039658684394537
1593.4279999999999,12.93492872682404
1782.9156,16.76302745393005
1340.4671999999998,27.78285524788592
1465.3992999999998,18.725472481694926
1175.2317,10.969940820669828
1485.5667,18.202574344773506
1469.7202,12.995218263968098
2095.0797999999995,11.087542205146114
2800.3046,11.734283427546586
3752.5764,15.007064074159981
675.2116,15.316825079962797
441.8849,15.432175036669694
738.8027000000001,16.613881580426817
848.2359999999999,21.443385494349922
927.5314000000001,18.313649377060834
914.2168,18.36920171190902
1106.5591000000002,21.797677533733875
1425.2742,25.624288950415306
1437.9199999999998,24.18948926720947
899.7660999999999,18.07848302190074
1069.0185999999999,19.01322543352601
928.8613000000001,15.538774110443818
1565.5192,23.86389439346361
2337.7904000000003,26.677968732169354
2129.5465999999997,22.242553947066067
2906.9784,29.96390698441494
2759.3599999999997,28.253604193971164
2628.9896,24.549347277990474
3462.8883,33.20505043725069
3817.4311000000002,33.373237109436474
5458.3932,42.10910858244937
4320.252799999999,28.608482713408772
5063.8183,31.86855824842508
5460.267400000001,29.50252001858676
5022.5069,23.873953777997492
8517.976,11.303046709129513
8703.1844,9.978427424902545
9831.3728,11.005678719355199
10530.9159,12.046346259437199
